time,setpoint,control,velocity
167.7689971923828,0.9972764253616333,0.5078586339950562,0.8636975884437561
167.83900451660156,0.9999939203262329,0.49810850620269775,0.8754899501800537
167.91000366210938,0.9977865219116211,0.48184168338775635,0.8849238753318787
167.97900390625,0.9906905293464661,0.47484883666038513,0.8852344155311584
168.0489959716797,0.9787505865097046,0.44888758659362793,0.8891011476516724
168.11900329589844,0.9620248675346375,0.4323570728302002,0.884958028793335
168.18899536132812,0.9405270218849182,0.41013506054878235,0.878025233745575
168.25900268554688,0.9145021438598633,0.3836095929145813,0.8688607215881348
168.32899475097656,0.8840062022209167,0.3520445227622986,0.8579108119010925
168.3990020751953,0.8491016626358032,0.3222622871398926,0.8419144153594971
168.468994140625,0.8101328015327454,0.29160282015800476,0.8218806982040405
168.53900146484375,0.7670828104019165,0.2660030722618103,0.7949988842010498
168.60899353027344,0.7203184962272644,0.24239251017570496,0.7626386880874634
168.6790008544922,0.6701405644416809,0.21226659417152405,0.729513943195343
168.74099731445312,0.624367892742157,0.2369435876607895,0.6740679144859314
168.8090057373047,0.5681701302528381,0.1928558349609375,0.6369476914405823
168.87899780273438,0.5091981291770935,0.1610289067029953,0.5963966846466064
168.94900512695312,0.4477873742580414,0.12900762259960175,0.5531010627746582
169.0189971923828,0.3841652572154999,0.103633813560009,0.5039914846420288
169.08900451660156,0.31852787733078003,0.08173451572656631,0.4502307176589966
169.15899658203125,0.2516971230506897,0.07090059667825699,0.38913074135780334
169.22900390625,0.18323640525341034,0.06604644656181335,0.32215940952301025
169.2989959716797,0.11426787823438644,0.05326512083411217,0.2577275335788727
169.36900329589844,0.04423868656158447,0.013254111632704735,0.20618201792240143
169.43899536132812,-0.02586047165095806,0.062191400676965714,0.16494561731815338
169.50900268554688,-0.09560085833072662,0.2574164569377899,0.13195650279521942
169.57899475097656,-0.16498707234859467,-0.3876270651817322,-0.11642001569271088
169.6490020751953,-0.23354054987430573,-0.460749089717865,-0.1329369992017746
169.718994140625,-0.30101752281188965,-0.4576210379600525,-0.1931881457567215
169.78900146484375,-0.3669339716434479,-0.4278223216533661,-0.27395349740982056
169.8509979248047,-0.42199158668518066,-0.42450034618377686,-0.33494752645492554
169.91900634765625,-0.4842741787433624,-0.4054499566555023,-0.4090706408023834
169.98899841308594,-0.5445570945739746,-0.3997504413127899,-0.47560569643974304
170.05999755859375,-0.6017414331436157,-0.41235122084617615,-0.5288336873054504
170.12899780273438,-0.6561241149902344,-0.43691039085388184,-0.5714161396026611
170.1909942626953,-0.7002265453338623,-0.4771409034729004,-0.5946272611618042
170.25900268554688,-0.748460590839386,-0.4954471290111542,-0.6312875151634216
170.32899475097656,-0.7929863929748535,-0.5031487345695496,-0.6714705228805542
170.3990020751953,-0.8336172103881836,-0.514935314655304,-0.7072352170944214
170.468994140625,-0.8702556490898132,-0.5183843970298767,-0.7430834770202637
170.53900146484375,-0.9025393128395081,-0.5292015671730042,-0.7717621922492981
170.60899353027344,-0.9305092096328735,-0.5271976590156555,-0.8019415736198425
170.6790008544922,-0.9538329243659973,-0.5302742123603821,-0.8260851502418518
170.74899291992188,-0.97251296043396,-0.5331459641456604,-0.8453999757766724
170.81900024414062,-0.9863555431365967,-0.5266011953353882,-0.8644701838493347
170.88900756835938,-0.995476245880127,-0.5198939442634583,-0.8797262907028198
170.96099853515625,-0.999685525894165,-0.5022443532943726,-0.895549476146698
171.0290069580078,-0.9989906549453735,-0.5049418210983276,-0.8973532319068909
171.0989990234375,-0.9934006929397583,-0.48736852407455444,-0.9024144411087036
171.16900634765625,-0.9829506278038025,-0.47227051854133606,-0.9028452038764954
171.23899841308594,-0.9676528573036194,-0.44727206230163574,-0.9031897783279419
171.3090057373047,-0.9477020502090454,-0.4217482805252075,-0.899847149848938
171.37899780273438,-0.9230291247367859,-0.399859756231308,-0.8899365067481995
171.44900512695312,-0.8938455581665039,-0.3709547817707062,-0.8783897161483765
171.5189971923828,-0.8602988719940186,-0.33647048473358154,-0.8655340075492859
171.59100341796875,-0.8224503993988037,-0.30332523584365845,-0.8480129241943359
171.65899658203125,-0.7807610630989075,-0.2912396788597107,-0.8159046769142151
171.72900390625,-0.7351599335670471,-0.26093629002571106,-0.78659987449646
171.79100036621094,-0.6931007504463196,-0.27219322323799133,-0.741446316242218
171.85899353027344,-0.6410661339759827,-0.23720423877239227,-0.7053234577178955
171.9290008544922,-0.5857840180397034,-0.19542710483074188,-0.6728069186210632
171.99899291992188,-0.5276901721954346,-0.16617928445339203,-0.6323206424713135
172.0709991455078,-0.4669572412967682,-0.12723548710346222,-0.5926950573921204
172.13900756835938,-0.403834730386734,-0.11953514814376831,-0.5356667041778564
172.20899963378906,-0.3390267789363861,-0.10110707581043243,-0.4791891872882843
172.2790069580078,-0.27241623401641846,-0.08611488342285156,-0.4195340573787689
172.3489990234375,-0.20445260405540466,-0.08012270927429199,-0.3537186086177826
172.41900634765625,-0.13545675575733185,-0.07270713150501251,-0.28659313917160034
172.48899841308594,-0.0657365471124649,-0.0437459833920002,-0.22927451133728027
172.55999755859375,0.004114189185202122,-0.0,-0.1834196150302887
172.62899780273438,0.07405637949705124,-0.0,-0.14673568308353424
172.69900512695312,0.14362779259681702,-0.2276959866285324,-0.11738855391740799
172.7689971923828,0.21247698366641998,-0.35430410504341125,-0.10476565361022949
172.83900451660156,0.280065655708313,0.4385806620121002,0.11637697368860245
172.90899658203125,0.3467433452606201,0.44945815205574036,0.1690853089094162
172.97900390625,0.411576509475708,0.4291073679924011,0.24381640553474426
173.0489959716797,0.4742594063282013,0.4072568714618683,0.32169264554977417
173.11900329589844,0.5346617102622986,0.3920215964317322,0.39484846591949463
173.18099975585938,0.5843846797943115,0.40548521280288696,0.44251832365989685
173.25,0.6397353410720825,0.4144856333732605,0.49512726068496704
173.31900024414062,0.6918557286262512,0.4307495355606079,0.5408326983451843
173.38900756835938,0.7407776713371277,0.4504551291465759,0.5810152888298035
173.4600067138672,0.7858845591545105,0.46337246894836426,0.6203979253768921
173.5290069580078,0.8272256851196289,0.4713221490383148,0.6591406464576721
173.5989990234375,0.8644276261329651,0.48792722821235657,0.6901347637176514
173.66900634765625,0.8974889516830444,0.4927627444267273,0.7221665978431702
173.73899841308594,0.9262226819992065,0.5039203763008118,0.7477920651435852
173.8090057373047,0.9502848982810974,0.5079153180122375,0.7719107866287231
173.87899780273438,0.9697065353393555,0.5062013268470764,0.794823944568634
